"Name of Satellite, Alternate Names"	Current Official Name of Satellite	Country/Org of UN Registry	Country of Operator/Owner	Operator/Owner	Users	Purpose	Detailed Purpose	Class of Orbit	Type of Orbit	Longitude of GEO (degrees)	Perigee (km)	Apogee (km)	Eccentricity	Inclination (degrees)	Period (minutes)	Launch Mass (kg.)	Dry Mass (kg.)	Power (watts)	Date of Launch	Expected Lifetime (yrs.)	Contractor	Country of Contractor	Launch Site	Launch Vehicle	COSPAR Number	NORAD Number	Comments		Source Used for Orbital Data	Source		Source	Source	Source	Source	Source																																																																																																																																																																																																																											
1HOPSAT-TD (1st-generation High Optical Performance Satellite)	1HOPSAT	NR (3/20)	USA	Hera Systems	Commercial	Earth Observation	Technology Development	LEO	Non-Polar Inclined	0.00	566	576	7.20E-04	36.90	96.08	22			12/11/2019	0.5	Hera Systems	USA	Satish Dhawan Space Centre	PSLV	2019-089H	44859	Pathfinder for planned earth observation constellation.		JMSatcat/3_20	https://spaceflightnow.com/2019/12/11/indias-50th-pslv-lifts-off-with-satellites-from-five-nations/	https://www.herasys.com/																																																																																																																																																																																																																																
3Cat-1	3Cat-1	NR	Spain	Universitat Polit�cnica de Catalunya	Civil	Technology Development		LEO		0.00	476	500	1.75E-03	97.40	95	4			11/29/2018		Universitat Polit�cnica de Catalunya	Spain	Satish Dhawan Space Centre	PSLV	2018-096K	43728	Student built.		Estimated	https://spaceflightnow.com/2018/11/29/indian-rocket-launches-31-satellites/																																																																																																																																																																																																																																	
Aalto-1 	Aalto-1	Finland	Finland	Aalto University	Civil	Technology Development		LEO		0.00	497	517	1.45E-03	97.45	94.7	5		4.5	6/23/2017	2	Aalto University	Finland	Satish Dhawan Space Centre	PSLV	2017-036L	42775	Technology development and education.		JMSatcat/10_17	https://directory.eoportal.org/web/eoportal/satellite-missions/a/aalto-1		http://www.planet4589.org/space/log/satcat.txt																																																																																																																																																																																																																															
AAUSat-4	AAUSat-4	Denmark	Denmark	University of Aalborg	Civil	Earth Observation	Automatic Identification System (AIS)	LEO	Sun-Synchronous	0.00	442	687	1.77E-02	98.20	95.9	1			4/25/2016		University of Aalborg	Denmark	Guiana Space Center	Soyuz 2.1a	2016-025E	41460	Carries AIS system.		Space50	http://spaceflightnow.com/2016/04/26/soyuz-blasts-off-with-environmental-satellite-general-relativity-probe/		http://space50.org/objekt.php?mot=2016-025E&jazyk=pp_en																																																																																																																																																																																																																															
"ABS-2 (Koreasat-8, ST-3)"	ABS-2	NR	Multinational	Asia Broadcast Satellite Ltd.	Commercial	Communications		GEO		75.00	"35,778"	"35,793"	1.78E-04	0.08	1436.03	"6,330"		"16,000"	2/6/2014	15	Space Systems/Loral	USA	Guiana Space Center	Ariane 5 ECA	2014-006A	39508	"32 C-band, 51 Ku-band, and 6 Ka-band transponders. $214 million lawsuit for bad beam."		ZARYA	http://www.absatellite.net/satellite-fleet/?sat=abs6		http://www.zarya.info/Diaries/Launches/Launches.php?year=2014	http://www.absatellite.net/2010/10/13/asia-broadcast-satellite-signs-abs-2-satellite-manufacturing-contract-with-space-systemsloral/	http://www.spacenews.com/article/satellite-telecom/42218abs-files-214-million-insurance-claim-for-bad-satellite-beam																																																																																																																																																																																																																													
ABS-2A	ABS-2A	NR	Multinational	Asia Broadcast Satellite Ltd.	Commercial	Communications		GEO		-75.00	"35,700"	"35,700"	0.00E+00	0.00	1436.1	"1,800"			6/15/2016	15	Boeing Satellite Systems	USA	Cape Canaveral	Falcon 9	2016-038A	41588			Estimated																																																																																																																																																																																																																																		
ABS-3A 	ABS-3A	NR	Multinational	Asia Broadcast Satellite Ltd.	Commercial	Communications		GEO		-3.00	"35,788"	"35,803"	1.78E-04	0.10	1436	"2,000"			3/2/2015	15	Boeing Satellite Systems	USA	Cape Canaveral	Falcon 9	2015-010A	40424	Coverage of Americas Europe and Africa.			http://www.absatellite.net/satellite-fleet/?sat=abs3a		http://spaceflightnow.com/2015/03/17/innovative-satellites-begin-maneuvers-with-all-electric-thrusters/																																																																																																																																																																																																																															
"ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)"	ABS-4	NR	Multinational	Asia Broadcast Satellite Ltd.	Commercial	Communications		GEO		75.00	"35,780"	"35,793"	1.54E-04	0.01	1436.1	"4,143"	"1,700"	"7,400"	3/13/2004	12	Space Systems/Loral	USA	Cape Canaveral	Atlas 3	2004-007A	28184	Purchased by ABS in 2013.		JM/12_08	http://www.absatellite.net/satellite-fleet/?sat=abs2			http://space.skyrocket.de/doc_sdat/mbsat-1.htm																																																																																																																																																																																																																														
"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)"	ABS-6	NR	Multinational	Asia Broadcast Satellite Ltd.	Commercial	Communications		GEO		159.00	"35,777"	"35,794"	2.02E-04	0.01	1436.08	"2,894"	"1,730"	"6,800 (EOL)"	9/26/1999	15	Lockheed Martin	USA	Baikonur Cosmodrome	Proton	1999-053A	25924	"28 C-band, 16 Ku-band; business services, public voice and data services, broadcasting, direct-to-home; Eastern Europe, CIS, South and Southeast Asia, Africa, Middle East, Australia."		JM/12_08	http://www.washingtonpost.com/wp-dyn/articles/A18888-2004May11.html		http://nssdc.gsfc.nasa.gov/spacewarn/spx551.html	http://www.interpsputnik.com/1mi1chars.shtml	http://www.intersputnik.com/press_270999.htm	http://www.lockheedmartin.com/content/dam/lockheed/data/space/documents/a2100/A2100brochure.pdf																																																																																																																																																																																																																												
"ABS-7 (Koreasat 3, Mugungwha 3)"	ABS-7	South Korea	Multinational	Asia Broadcast Satellite Ltd.	Commercial	Communications		GEO		116.18	"35,780"	"35,791"	1.30E-04	0.01	1436.06	"3,500"	"1,800"	"4,800"	9/4/1999	15	Lockheed Martin Astro Space	USA	Guiana Space Center	Ariane	1999-046A	25894	"30 Ku-band, 6 Ka-band; Korean peninsula, the Japanese archipelago, and parts of China and Russia."		JM/12_08	http://www.planet4589.org/space/jsr/back/news.407		http://lmms.external.lmco.com/newsbureau/pressreleases/1999/99.202.html	http://www.kt.co.kr/eng/biz_info/satellite_biz/system/koreasat3.html			http://www.absatellite.net/about/index.html																																																																																																																																																																																																																											
